Strain ,Day,Media ,Plate_type,CFU,Dilution_factor ,Cells/mL (10^6)
BG99-yH299-cta1::GFP,Day1_3_control ,SCD -cmu,SCD-Ura,85,10^6,425
BG99-yH299-cta1::GFP,Day1_3_control ,SCD -cmu,SCD+NAT+5FOA ,0,10^2,0
BG99-yH299-cta1::GFP,Day 4 ,SCD-0,YPD ,86,10^6,430
BG99-yH299-cta1::GFP,Day 4 ,SCD-0,SCD-Ura,49,10^6,245
BG99-yH299-cta1::GFP,Day 4 ,SCD-0,SCD+NAT+5FOA ,100,10^6,500
BG99-yH299-cta1::GFP,Day 5 ,SCD-0+NAT+5FOA (1:1),YPD ,52,10^6,260
BG99-yH299-cta1::GFP,Day 5 ,SCD-0+NAT+5FOA (1:1),SCD-Ura,288,10^5,144
BG99-yH299-cta1::GFP,Day 5 ,SCD-0+NAT+5FOA (1:1),SCD+NAT+5FOA ,52,10^4,2.6
BG99-yH299-cta1::GFP,Day 6 ,SCD-0+NAT+5FOA (1:1),YPD ,6,10^6,30
BG99-yH299-cta1::GFP,Day 6 ,SCD-0+NAT+5FOA (1:1),SCD-Ura,46,10^3,0.23
BG99-yH299-cta1::GFP,Day 6 ,SCD-0+NAT+5FOA (1:1),SCD+NAT+5FOA ,44,10^4,2.2
BG99-yH299-cta1::GFP,Day 7 ,SCD+NAT+5FOA (1:10),YPD ,13,10^6,65
BG99-yH299-cta1::GFP,Day 7 ,SCD+NAT+5FOA (1:10),SCD-Ura,0,10^2,0
BG99-yH299-cta1::GFP,Day 7 ,SCD+NAT+5FOA (1:10),SCD+NAT+5FOA ,100,10^5,50
